hostname,port
aa397.teaching.cs.st-andrews.ac.uk,24477
aar26.teaching.cs.st-andrews.ac.uk,24624
aav3.teaching.cs.st-andrews.ac.uk,24629
ab575.teaching.cs.st-andrews.ac.uk,24506
ab631.teaching.cs.st-andrews.ac.uk,25119
abm27.teaching.cs.st-andrews.ac.uk,24586
ad385.teaching.cs.st-andrews.ac.uk,24659
ah434.teaching.cs.st-andrews.ac.uk,24731
am714.teaching.cs.st-andrews.ac.uk,24679
as665.teaching.cs.st-andrews.ac.uk,24650
as675.teaching.cs.st-andrews.ac.uk,24537
as696.teaching.cs.st-andrews.ac.uk,24604
bj59.teaching.cs.st-andrews.ac.uk,24463
cc396.teaching.cs.st-andrews.ac.uk,23835
ccb20.teaching.cs.st-andrews.ac.uk,25087
ccen1.teaching.cs.st-andrews.ac.uk,24485
cm564.teaching.cs.st-andrews.ac.uk,24524
da95.teaching.cs.st-andrews.ac.uk,24530
dd210.teaching.cs.st-andrews.ac.uk,23921
dg231.teaching.cs.st-andrews.ac.uk,24660
ed237.teaching.cs.st-andrews.ac.uk,24520
ejw38.teaching.cs.st-andrews.ac.uk,24613
ek242.teaching.cs.st-andrews.ac.uk,24585
em406.teaching.cs.st-andrews.ac.uk,24704
eo53.teaching.cs.st-andrews.ac.uk,24609
ep247.teaching.cs.st-andrews.ac.uk,24551
er253.teaching.cs.st-andrews.ac.uk,24516
es356.teaching.cs.st-andrews.ac.uk,24591
es367.teaching.cs.st-andrews.ac.uk,24822
gg89.teaching.cs.st-andrews.ac.uk,24569
hb233.teaching.cs.st-andrews.ac.uk,24615
hm264.teaching.cs.st-andrews.ac.uk,24796
ja231.teaching.cs.st-andrews.ac.uk,24603
ja244.teaching.cs.st-andrews.ac.uk,24630
jb478.teaching.cs.st-andrews.ac.uk,24785
jc474.teaching.cs.st-andrews.ac.uk,24747
jkct1.teaching.cs.st-andrews.ac.uk,24542
jm546.teaching.cs.st-andrews.ac.uk,24566
jm551.teaching.cs.st-andrews.ac.uk,24678
jm552.teaching.cs.st-andrews.ac.uk,24725
jp276.teaching.cs.st-andrews.ac.uk,24639
js498.teaching.cs.st-andrews.ac.uk,23945
kc237.teaching.cs.st-andrews.ac.uk,24716
km392.teaching.cs.st-andrews.ac.uk,24698
ks358.teaching.cs.st-andrews.ac.uk,23660
ky39.teaching.cs.st-andrews.ac.uk,24536
ljb39.teaching.cs.st-andrews.ac.uk,24614
lk203.teaching.cs.st-andrews.ac.uk,24599
lw265.teaching.cs.st-andrews.ac.uk,24649
ma364.teaching.cs.st-andrews.ac.uk,24521
ma374.teaching.cs.st-andrews.ac.uk,24771
mr334.teaching.cs.st-andrews.ac.uk,24492
ms554.teaching.cs.st-andrews.ac.uk,24640
nkowa1.teaching.cs.st-andrews.ac.uk,24775
oa31.teaching.cs.st-andrews.ac.uk,24549
om70.teaching.cs.st-andrews.ac.uk,25063
on6.teaching.cs.st-andrews.ac.uk,24769
pt76.teaching.cs.st-andrews.ac.uk,24638
rb331.teaching.cs.st-andrews.ac.uk,24504
rh265.teaching.cs.st-andrews.ac.uk,24573
rr233.teaching.cs.st-andrews.ac.uk,23888
saeks1.teaching.cs.st-andrews.ac.uk,24744
sbb8.teaching.cs.st-andrews.ac.uk,24761
sg367.teaching.cs.st-andrews.ac.uk,24525
sj97.teaching.cs.st-andrews.ac.uk,23911
sp318.teaching.cs.st-andrews.ac.uk,24786
ss511.teaching.cs.st-andrews.ac.uk,24690
tad4.teaching.cs.st-andrews.ac.uk,24558
tc241.teaching.cs.st-andrews.ac.uk,25159
teym1.teaching.cs.st-andrews.ac.uk,25274
tfb6.teaching.cs.st-andrews.ac.uk,25319
ti28.teaching.cs.st-andrews.ac.uk,24595
tn53.teaching.cs.st-andrews.ac.uk,24815
to41.teaching.cs.st-andrews.ac.uk,24818
vh46.teaching.cs.st-andrews.ac.uk,24587
vs98.teaching.cs.st-andrews.ac.uk,24685
wf27.teaching.cs.st-andrews.ac.uk,24496
xd27.teaching.cs.st-andrews.ac.uk,24571
yhk1.teaching.cs.st-andrews.ac.uk,25355
ymw3.teaching.cs.st-andrews.ac.uk,24814
yxc1.teaching.cs.st-andrews.ac.uk,25388
zlt1.teaching.cs.st-andrews.ac.uk,24657
